energie_alias,current_portion,rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g
crème glacée,1 tasse,1,4157,1.5,"Dessert, congelé, crème glacée, vanille, riche, 16% M.G.","Dessert, frozen, ice cream, vanilla, rich, 16% M.F.",249
crème glacée,1 tasse,2,4158,1.5,"Dessert, congelé, crème glacée, vanille française, molle","Dessert, frozen, ice cream, French vanilla, soft serve",222
crème glacée,1 tasse,3,4163,1.5,"Dessert, congelé, crème glacée, vanille, 11% M.G.","Dessert, frozen, ice cream, vanilla, 11% M.F.",208
crème glacée,1 tasse,4,5453,1.5,"Dessert, congelé, crème glacée, vanille, sans gras","Dessert, frozen, ice cream, vanilla, fat free",138
crème glacée,1 tasse,5,5750,1.5,"Dessert, congelé, crème glacée, vanille, légère, sans sucre, enrobée de chocolat","Dessert, frozen, ice cream, vanilla, light, no sugar added, chocolate coated",221
crème glacée,1 tasse,6,6334,1.5,"Dessert, congelé, crème glacée, vanille, réduit en sucre","Dessert, frozen, ice cream, vanilla, reduced sugar",216
crème glacée,1 tasse,7,7033,1.5,"Dessert, congelé, sandwich à la crème glacée, crème glacée légère, vanille","Dessert, frozen, ice cream sandwich, made with light ice cream, vanilla",186
crème glacée,1 tasse,8,4156,1,"Dessert, congelé, crème glacée, légère, vanille","Dessert, frozen, ice cream, light, vanilla",181
crème glacée,1 tasse,9,4164,1,"Dessert, congelé, crème glacée, pauvre en gras, vanille, molle","Dessert, frozen, ice cream, low fat, vanilla, soft serve",126
crème glacée,1 tasse,10,4557,1,"Aliments prêts à manger, dessert, crème glacée, légère, vanille, molle avec cornet","Fast foods, dessert, ice cream, light, vanilla, soft serve with cone",163
crème glacée,1 tasse,11,4917,1,"Dessert, congelé, crème glacée, légère, avec aspartame, vanille","Dessert, frozen, ice cream, light, with aspartame, vanilla",169
crème glacée,1 tasse,12,3819,0.667,"Biscuit, sandwich au chocolat, garniture au chocolat ou crème à la vanille, commercial","Cookie, chocolate sandwich, chocolate or vanilla cream filling, commercial",481.921825403
barre granola,1 barre,1,6593,2.3,"Barre granola, All Bran, barres et bouchées collation, toutes saveurs, Kellogg's","Granola bar, All Bran, bars and snack bites, all flavours, Kellogg's",493
barre granola,1 barre,2,6595,2.3,"Barre granola/céréales, farcie aux fruits, toutes saveurs","Granola bar, cereal bar, fruit-filled, all flavours",386
barre granola,1 barre,3,6596,2.3,"Barre granola, croquante, nature","Granola bar, crunchy, plain",480
barre granola,1 barre,4,6597,2.3,"Barre granola, croquante, fruits et/ou noix","Granola bar, crunchy, fruit and/or nut",471
barre granola,1 barre,5,6598,2.3,"Barre granola/céréales, Gruau sur le pouce, toutes saveurs, Quaker","Granola bar, cereal bar, Oatmeal to go, all flavours, Quaker",390
barre granola,1 barre,6,6599,2.3,"Barre granola, tendre, saveurs de fruits, enrobée de yogourt","Granola bar, chewy, fruit flavour, yogourt (yogurt) coated",401
barre granola,1 barre,7,6600,2.3,"Barre granola, tendre, enrobée de chocolat, toutes saveurs","Granola bar, chewy, chocolate coated, all flavours",425
barre granola,1 barre,8,6601,2.3,"Barre granola, tendre, grains de chocolat","Granola bar, chewy, chocolate chip",397
barre granola,1 barre,9,6602,2.3,"Barre granola, tendre, fruits et/ou noix","Granola bar, chewy, fruit and/or nut",406
barre granola,1 barre,10,6603,2.3,"Barre granola, tendre, faible en gras","Granola bar, chewy, low fat",371
barre granola,1 barre,11,6604,2.3,"Barre granola, tendre, salée et sucrée","Granola bar, chewy, sweet and salty",427
barre granola,1 barre,12,6727,2.3,"Barre granola, tendre, saveurs de fruits, protéines de soya ajoutées, enrobée de yogourt","Granola bar, chewy, fruit flavour, soy protein added, yogourt (yogurt) coated",384
beigne,1 moyen,1,3891,1,"Beigne, type gâteau, nature (inclus non sucré, à l'ancienne)","Doughnut (donut), cake-type, plain (includes unsugared, old-fashioned)",434
beigne,1 moyen,2,3892,1,"Beigne, type gâteau, nature, enrobé de chocolat ou glacé","Doughnut (donut), cake-type, plain, chocolate coated or iced",452
beigne,1 moyen,3,3893,1,"Beigne, type gâteau, nature, enrobé de sucre (givré)","Doughnut (donut), cake-type, plain, sugared or glazed",426
beigne,1 moyen,4,28,0.5,"Fromage, produit de fromage à la crème, nature","Cheese, cream cheese product, plain",310
beigne,1 moyen,5,1223,0.5,"Grains céréaliers, germe de blé, grillé","Grains, wheat germ, toasted, plain",382
beigne,1 moyen,6,1240,0.5,"Céréale, prête-à-manger, Croque Nature: original, Quaker","Cereal, ready to eat, Harvest Crunch: original, Quaker",459
beigne,1 moyen,7,1305,0.5,"Céréale, prête-à-manger, flocons de maïs au miel, Nature's Path","Cereal, ready to eat, Corn flakes, Honey'd, Nature's Path",383
beigne,1 moyen,8,1325,0.5,"Céréale, prête-à-manger, Flax Plus: baie rouges croustillantes, Nature's Path","Cereal, ready to eat, Flax Plus: Red Berry Crunch, Nature's Path",460
beigne,1 moyen,9,1331,0.5,"Céréale, prête-à-manger, Flax plus: croustillantes avec graines de citrouilles et raisins, Nature's Path","Cereal, ready to eat, Flax Plus: Pumpkin Raisin Crunch, Nature's Path",381
beigne,1 moyen,10,1335,0.5,"Céréale, prête-à-manger, Croque Nature: original, faible en gras, Quaker","Cereal, ready to eat, Harvest Crunch: Honey Nut, Light and Crisp, Quaker",431
beigne,1 moyen,11,1336,0.5,"Céréale, prête-à-manger, Croque Nature: raisins avec amandes, faible en gras, Quaker","Cereal, ready to eat, Harvest Crunch: Raisins with almonds, low fat, Quaker",435
beigne,1 moyen,12,1337,0.5,"Céréale, prête-à-manger, Croque Nature: raisins secs et amandes, Quaker","Cereal, ready to eat, Harvest Crunch: Raisins and almonds, Quaker",460
smoothie,1 grand verre,1,7580,1.8,"Frappé (smoothie) au jus de fruits, fraises et bananes","Smoothie, fruit juice, strawberry banana",52
smoothie,1 grand verre,2,7645,1.5,"Aliments prêts à manger, frappé avec yogourt faible en gras et glaçons","Fast foods, smoothie, strawberry banana with low-fat yogourt and ice",65
smoothie,1 grand verre,3,75,0.5,"Lait frappé, chocolat, épais","Milkshake, chocolate, thick",119
smoothie,1 grand verre,4,76,0.5,"Lait frappé, vanille, épais","Milkshake, vanilla, thick",112
smoothie,1 grand verre,5,2905,0.5,"Lait frappé (restauration-minute), chocolat","Milkshake (fast food), chocolate",127
smoothie,1 grand verre,6,2906,0.5,"Lait frappé (restauration-minute), vanille","Milkshake (fast food), vanilla",148
smoothie,1 grand verre,7,2932,0.5,"Lait frappé (restauration-minute), fraise","Milkshake (fast food), strawberry",113
