legacy_alias,current_portion,candidate_rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g,protein_100g,carbs_100g,fat_100g
bleuets,1 tasse,5,7209,1.133,"Bleuet séché, sucré","Blueberry, dried, sweetened",317,2.5,80,2.5
framboises,1 tasse,1,1747,1.3,"Framboise, crue","Raspberry, raw",53,1.2,11.94,0.65
framboises,1 tasse,2,1677,1.133,"Framboise, congelée, sucrée","Raspberry, frozen, sweetened",103,0.7,26.16,0.16
framboises,1 tasse,3,6530,1.133,"Framboise sauvage, crue","Raspberry, wild, raw",62,1.12,13.85,0.28
framboises,1 tasse,4,7822,1.133,"Framboises, purée, sans pépins","Raspberries, puree, seedless",41,1.02,7.99,0.87
framboises,1 tasse,5,7826,1.133,"Framboise, jus, concentré",Raspberry juice concentrate,221,3.04,53.19,1.34
mûres,1 tasse,1,1610,1.133,"Mûres blanche, crue","Mulberry, raw",43,1.44,9.8,0.39
cerises,1 tasse,1,1526,1.05,"Cerise sure, rouge, crue","Cherry, sour, red, raw",50,1,12.18,0.3
cerises,1 tasse,2,1531,1.05,"Cerise sucrée (guigne), crue","Cherry, sweet, raw",63,1.06,16.01,0.2
cerises,1 tasse,3,1536,1.05,"Cerise sucrée (guigne), congélée, sucrée","Cherry, sweet, frozen, sweetened",89,1.15,22.36,0.13
cerises,1 tasse,4,1577,1.05,"Cerise de terre, crue","Groundcherry, raw",53,1.9,11.2,0.7
cerises,1 tasse,5,7208,1.05,"Cerises, sures (acidulées), séchées, sucrées","Cherries, tart, dried, sweetened",333,1.25,80.45,0.73
ananas,1 tasse,1,1734,1.3,"Ananas, cru","Pineapple, raw",50,0.54,13.12,0.12
ananas,1 tasse,2,1656,1.05,"Ananas, en morceaux, congelés, sucrés","Pineapple, frozen chunks, sweetened",86,0.4,22.2,0.1
ananas,1 tasse,3,5403,1.05,"Ananas, cru, variétés traditionnelles","Pineapple, raw, traditional varieties",45,0.55,11.82,0.13
ananas,1 tasse,4,1659,1,"Ananas, jus, concentré, congelé, dilué","Pineapple juice, frozen concentrate, diluted",51,0.4,12.67,0.03
ananas,1 tasse,5,5394,1,"Ananas, conserve, dans du jus, égouttés","Pineapple, canned, juice pack, drained",60,0.51,15.56,0.11
mangue,1 tasse,1,1603,1.3,"Mangue, crue","Mango, raw",60,0.82,14.98,0.38
mangue,1 tasse,2,6205,1.133,"Mangue, nectar, en conserve","Mango, nectar, canned",51,0.11,13.12,0.06
mangue,1 tasse,3,7597,1.133,"Mangue, séchée, sucrée","Mango, dried, sweetened",319,2.45,78.58,1.18
mangue,1 tasse,4,4845,0.8,"Mangoustan, conserve, sirop","Mangosteen, canned, syrup pack",73,0.41,17.91,0.58
mangue,1 tasse,5,7485,0.463,"Aliment pour bébé, fruits, en pot, pommes et autres fruits (prune, mangue, kiwi, poire, banane, abricot et/ou ananas), toutes les étapes","Babyfood, fruit, jarred, apple and other fruit (plum, mango, kiwi, pear, banana, apricot and/or pineapple), all stages",57,0.45,15.3,0.04
papaye,1 tasse,1,1628,1.3,"Papaye, crue","Papaya, raw",43,0.47,10.82,0.26
papaye,1 tasse,2,1629,1.133,"Papaye, nectar, conserve","Papaya nectar, canned",57,0.17,14.51,0.15
papaye,1 tasse,3,6937,0.967,"Papaye, conserve dans du sirop épais, drainé","Papaya, canned, heavy syrup pack, drained",206,0.14,55.83,0.55
papaye,1 tasse,4,6638,0.477,"Fruits tropicaux, salade (ananas, papaye rouge et jaune), conserve, dans du jus, solides et liquide","Fruit salad, tropical (pineapple, red and yellow papaya), canned, juice pack, solids and liquid",58,0.404,15.012,0.084
