legacy_alias,current_portion,candidate_rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g,protein_100g,carbs_100g,fat_100g
courgette,1 moyenne,5,2346,0.6,"Courges d'été, courgettes (zucchini), naines, crues","Squash, summer, zucchini, baby, raw",21,2.71,3.11,0.4
aubergine,1 tasse cuite,1,2088,1.3,"Aubergine, crue","Eggplant (aubergine, brinjal), raw",25,0.98,5.88,0.18
aubergine,1 tasse cuite,2,5550,1.3,"Aubergine, marinée","Eggplant, pickled",49,0.9,9.77,0.7
aubergine,1 tasse cuite,3,2089,1.133,"Aubergine, bouillie, égouttée","Eggplant (aubergine, brinjal), boiled, drained",35,0.83,8.73,0.23
aubergine,1 tasse cuite,4,6424,1,"Aubergine, bouillie, égouttée, sel ajouté","Eggplant (aubergine, brinjal), boiled, drained, with salt",33,0.83,8.14,0.23
aubergine,1 tasse cuite,5,7713,0.65,"Trempette, aubergine (Baba ganoush)","Dip, eggplant (Baba ganoush)",159,4.213,12.135,11.833
asperges,1 tasse,1,1990,1.3,"Asperge, crue","Asparagus, raw",20,2.2,3.88,0.12
asperges,1 tasse,2,1991,1.133,"Asperge, bouillie, égouttée","Asparagus, boiled, drained",22,2.4,4.11,0.22
asperges,1 tasse,3,1993,1.133,"Asperge, congelée, non préparée","Asparagus, frozen, unprepared",24,3.23,4.1,0.23
asperges,1 tasse,4,2366,1.133,"Asperge, conserve, égouttée","Asparagus, canned, drained solids",19,2.14,2.46,0.65
asperges,1 tasse,5,1994,1.05,"Asperge, congelée, bouillie, égouttée","Asparagus, frozen, boiled, drained",18,2.95,1.92,0.42
champignons,1 tasse cuits,1,2123,1.133,"Champignon, bouilli, égoutté","Mushroom, boiled, drained",28,2.17,5.29,0.47
champignons,1 tasse cuits,2,2124,1.133,"Champignon shiitake, séché","Mushroom, shiitake, dried",296,9.58,75.37,0.99
champignons,1 tasse cuits,3,2125,1.133,"Champignon shiitake, cuit","Mushroom, shiitake, cooked",56,1.56,14.39,0.22
champignons,1 tasse cuits,4,2343,1.133,"Champignon, enoki, cru","Mushroom, enoki, raw",44,2.56,7.68,0.32
champignons,1 tasse cuits,5,2399,1.133,"Champignon, blanc, cru","Mushroom, white, raw",22,3.09,3.28,0.34
céleri,2 branches,1,2386,1.3,"Céleri, cru","Celery, raw",14,0.69,2.97,0.17
céleri,2 branches,2,2049,1.133,"Céleri-rave, cru","Celeriac, raw",42,1.5,9.2,0.3
céleri,2 branches,3,2387,1.133,"Céleri, bouilli, égoutté","Celery, boiled, drained",18,0.83,4,0.16
céleri,2 branches,4,5624,1.133,"Flocons de céleri, déshydratés","Celery flakes, dried",319,11.3,63.7,2.1
céleri,2 branches,5,2050,1.05,"Céleri-rave, bouilli, égoutté","Celeriac, boiled, drained",27,0.96,5.9,0.19
haricots verts,1 tasse,1,3257,1.2,"Haricots verts, grains mûrs, secs","Beans, french, mature seeds, dry",343,18.81,64.11,2.02
haricots verts,1 tasse,2,3258,1.2,"Haricots verts, grains mûrs, bouillis","Beans, french, mature seeds, boiled",129,7.05,24.02,0.76
haricots verts,1 tasse,3,3344,1.086,"Haricots verts, grains mûrs, bouillis, sel ajouté","Beans, french, mature seeds, boiled, salt added",129,7.05,24.02,0.76
haricots verts,1 tasse,4,7521,0.686,"Aliment pour bébé, légumes, en pot, haricots verts, toutes les étapes","Babyfood, vegetables, jarred, green beans, all stages",28,1.45,6.58,0.15
haricots verts,1 tasse,5,7527,0.65,"Aliment pour bébé, légumes et fruits, en pot, haricots verts et pommes","Babyfood, vegetables and fruit, jarred, green beans and apple",35,1.32,8.65,0.13
betterave,1 tasse,1,2021,1.133,"Betterave, feuilles, crues","Beet greens, raw",22,2.2,4.33,0.13
betterave,1 tasse,2,2022,1.05,"Betterave, feuilles, bouillies, égouttées","Beet greens, boiled, drained",27,2.57,5.46,0.2
betterave,1 tasse,3,6376,0.967,"Betterave, feuilles, bouillies, égouttées, sel ajouté","Beet greens, boiled, drained, with salt",27,2.57,5.46,0.2
betterave,1 tasse,4,2020,0.8,"Betteraves, conserve, solides et liquide","Beets, canned, solids and liquid",30,0.73,7.14,0.09
betterave,1 tasse,5,2373,0.8,"Betteraves, conserve, solides égouttés","Beets, canned, drained solids",31,0.91,7.21,0.14
chou de bruxelles,1 tasse,1,2378,1.467,"Choux de Bruxelles, crus","Brussels sprouts, raw",43,3.38,8.95,0.3
chou de bruxelles,1 tasse,2,2027,1.3,"Choux de Bruxelles, congelés, non préparés","Brussels sprouts, frozen, unprepared",41,3.78,7.86,0.41
chou de bruxelles,1 tasse,3,2379,1.3,"Choux de Bruxelles, bouillis, égouttés","Brussels sprouts, boiled, drained",36,2.55,7.1,0.5
chou de bruxelles,1 tasse,4,2028,1.2,"Choux de Bruxelles, congelés, bouillis, égouttés","Brussels sprouts, frozen, boiled, drained",42,3.64,8.32,0.39
chou de bruxelles,1 tasse,5,6387,1.133,"Choux de Bruxelles, bouillis, égouttés, sel ajouté","Brussels sprouts, boiled, drained, with salt",36,2.55,7.1,0.5
chou rouge,1 tasse,1,2034,1.467,"Chou rouge, cru","Cabbage, red, raw",31,1.43,7.37,0.16
chou rouge,1 tasse,2,2035,1.3,"Chou rouge, bouilli, égoutté","Cabbage, red, boiled, drained",29,1.51,6.94,0.09
chou rouge,1 tasse,3,6391,1.133,"Chou rouge, bouilli, égoutté, sel ajouté","Cabbage, red, boiled, drained, with salt",29,1.51,6.94,0.09
chou rouge,1 tasse,4,2361,0.333,"Chou, cru","Cabbage, raw",25,1.28,5.8,0.1
chou rouge,1 tasse,5,7599,0.333,"Chou, kimchi","Cabbage, kimchi",15,1.1,2.4,0.5
chou,1 tasse,1,2361,1.3,"Chou, cru","Cabbage, raw",25,1.28,5.8,0.1
chou,1 tasse,2,7599,1.3,"Chou, kimchi","Cabbage, kimchi",15,1.1,2.4,0.5
chou,1 tasse,3,2034,1.133,"Chou rouge, cru","Cabbage, red, raw",31,1.43,7.37,0.16
chou,1 tasse,4,2036,1.133,"Chou de Milan (Savoie), cru","Cabbage, savoy, raw",27,2,6.1,0.1
chou,1 tasse,5,2109,1.133,"Chou-rave, cru","Kohlrabi, raw",27,1.7,6.2,0.1
bok choy,1 tasse cuit,1,2038,1.2,"Bok choy, pak-choi, cru","Bok choy, pak-choi, raw",13,1.5,2.18,0.2
bok choy,1 tasse cuit,2,2039,1.133,"Bok choy, pak-choi, bouilli, égoutté","Bok choy, pak-choi, boiled drained",11,1.56,1.78,0.16
pois mange-tout,1 tasse,1,2408,1.55,"Pois mange-tout, crus","Peas, edible-podded (snow peas), raw",42,2.8,7.55,0.2
pois mange-tout,1 tasse,2,2146,1.4,"Pois mange-tout, bouillis, égouttés","Peas, edible-podded (snow peas), boiled, drained",42,3.27,7.05,0.23
pois mange-tout,1 tasse,3,2147,1.3,"Pois mange-tout, congelés, non préparés","Peas, edible-podded (snow peas), frozen, unprepared",42,2.8,7.2,0.3
pois mange-tout,1 tasse,4,2148,1.3,"Pois mange-tout, congelés, bouillis, égouttés","Peas, edible-podded (snow peas), frozen, boiled, drained",52,3.5,9.02,0.38
pois mange-tout,1 tasse,5,6477,1.229,"Pois mange-tout, bouillis, égouttés, sel ajouté","Peas, edible-podded (snow peas), boiled, drained, with salt",40,3.27,6.46,0.23
petits pois,1 tasse,1,1116,0.8,"Soupe, pois verts, conserve, condensée","Soup, pea, green, canned, condensed",125,6.54,20.18,2.23
petits pois,1 tasse,2,984,0.733,"Soupe, pois verts ou cassés, déshydratée","Soup, pea, green or split, dehydrated",356,20.49,60.68,4.23
petits pois,1 tasse,3,1124,0.686,"Soupe, pois verts, conserve, condensée, eau ajoutée","Soup, pea, green, canned, condensed, water added",61,3.2,9.88,1.09
petits pois,1 tasse,4,2409,0.667,"Pois, petits (verts), crus","Peas, green, raw",81,5.42,14.45,0.4
petits pois,1 tasse,5,1093,0.65,"Soupe, pois verts ou cassés, déshydratée, eau ajoutée","Soup, pea, green or split, dehydrated, water added",49,2.83,8.37,0.58
maïs,1 tasse,1,6,1.3,"Maïs, beignet",Corn fritter,374,8.55,38.623,21.238
maïs,1 tasse,2,2313,1.133,"Maïs, pouding, fait maison","Corn pudding , homemade",131,4.42,16.97,5.04
maïs,1 tasse,3,6263,1.133,"Maïs, séché, jaune","Corn, dried, yellow",419,14.48,66.27,10.64
maïs,1 tasse,4,2388,1.05,"Maïs sucré, jaune, cru","Corn, sweet, yellow, raw",86,3.27,18.7,1.35
maïs,1 tasse,5,6408,1.05,"Maïs, sucré, blanc, cru","Corn, sweet, white, raw",86,3.22,19.02,1.18
oignon,1 moyen,1,2401,1.3,"Oignon, cru","Onion, raw",40,1.1,9.34,0.1
oignon,1 moyen,2,2138,1.133,"Oignon, flocons déshydratés","Onion, dehydrated flakes",349,8.95,83.28,0.46
oignon,1 moyen,3,2145,1.133,"Oignon vert (ciboule), cru","Onion, Welsh, raw",34,1.9,6.5,0.4
oignon,1 moyen,4,2402,1.133,"Oignon, bouilli, égoutté","Onion, boiled, drained",44,1.36,10.15,0.19
oignon,1 moyen,5,5414,1.133,"Oignon, doux, cru","Onion, sweet, raw",32,0.8,7.55,0.08
ail,3 gousses,1,2394,1.3,"Ail, cru","Garlic, raw",149,6.36,33.06,0.5
ail,3 gousses,2,7087,0.9,Pain à l'ail,"Bread, garlic",350,8.36,41.72,16.61
ail,3 gousses,3,188,0.733,"Épices, ail, poudre","Spices, garlic powder",331,16.55,72.73,0.73
ail,3 gousses,4,6761,0.733,Pain à l'ail grillé,"Bread, garlic, toasted",369,8.64,50.622,14.429
ail,3 gousses,5,7336,0.6,"Saucisse, miel et ail, porc, crue","Sausage, honey garlic, pork, raw",260,17.73,2.19,19.52
poireau,1 tasse,1,2297,0.8,"Poireaux (bulbe et portion inférieure), lyophilisés","Leeks (bulb and lower-leaf portion), freeze-dried",321,15.2,74.65,2.1
poireau,1 tasse,2,2396,0.8,"Poireaux (bulbe et portion inférieure), crus","Leeks (bulb and lower-leaf portion), raw",61,1.5,14.15,0.3
poireau,1 tasse,3,2397,0.8,"Poireaux (bulbe et portion inférieure), bouillis, égouttés","Leeks (bulb and lower-leaf portion), boiled, drained",31,0.81,7.62,0.2
poireau,1 tasse,4,6451,0.8,"Poireaux (bulbe et portion inférieure), bouillis, égouttés, sel ajouté","Leeks (bulb and lower-leaf portion), boiled, drained, with salt",31,0.81,7.62,0.2
poireau,1 tasse,5,980,0.733,"Soupe, poireaux, déshydratée","Soup, leek, dehydrated",377,11.25,60.78,10.9
radis,1 tasse,1,2443,1.3,"Radis, cru","Radish, raw",16,0.68,3.4,0.1
radis,1 tasse,2,2196,1.05,"Radis, orientaux (daikon), crus","Radish, oriental (daikon), raw",18,0.6,4.1,0.1
radis,1 tasse,3,2198,1.05,"Radis, orientaux (daikon), séchés","Radish, oriental (daikon), dried",271,7.9,63.37,0.72
radis,1 tasse,4,2301,1.05,"Radis, white icicle, cru","Radish, white icicle, raw",14,1.1,2.63,0.1
radis,1 tasse,5,5547,1.05,"Radis, à l'hawaïenne, mariné","Radish, hawaiian style, pickled",28,1.1,5.2,0.3
navet,1 tasse,1,2470,1.3,"Navet, cru","Turnip, raw",28,0.9,6.43,0.1
navet,1 tasse,2,2262,1.133,"Navet, bouilli, égoutté","Turnip, boiled, drained",22,0.71,5.06,0.08
navet,1 tasse,3,2263,1.133,"Navet, feuilles, crues","Turnip greens, raw",32,1.5,7.13,0.3
navet,1 tasse,4,2471,1.133,"Navet, congelé, non préparé","Turnip, frozen, unprepared",16,1.04,2.94,0.16
navet,1 tasse,5,2264,1.05,"Navet, feuilles, bouillies, égouttées","Turnip greens, boiled, drained",20,1.14,4.36,0.23
rutabaga,1 tasse,1,2444,1.133,"Rutabaga (chou-navet), cru","Rutabaga (swede), raw",37,1.08,8.62,0.16
rutabaga,1 tasse,2,2445,1.05,"Rutabaga (chou-navet), bouilli, égoutté","Rutabaga (swede), boiled, drained",30,0.93,6.84,0.18
rutabaga,1 tasse,3,6531,0.967,"Rutabaga (chou-navet), bouilli, égoutté, sel ajouté","Rutabaga (swede), boiled, drained, with salt",30,0.93,6.84,0.18
citrouille,1 tasse,1,2192,1.3,"Citrouille, conserve","Pumpkin, canned",34,1.1,8.09,0.28
citrouille,1 tasse,2,2441,1.3,"Citrouille, crue","Pumpkin, raw",26,1,6.5,0.1
citrouille,1 tasse,3,2188,1.133,"Citrouille, fleurs, crues","Pumpkin flowers, raw",15,1.03,3.28,0.07
citrouille,1 tasse,4,2190,1.133,"Citrouille, feuilles, crues","Pumpkin leaves, raw",19,3.15,2.33,0.4
citrouille,1 tasse,5,2442,1.133,"Citrouille, bouillie, égouttée","Pumpkin, boiled, drained",20,0.72,4.9,0.07
courge butternut,1 tasse,1,6324,0.733,"Soupe, courge musquée, prête-à-servir","Soup, butternut squash, ready-to-serve",35,0.7,6.32,0.73
courge butternut,1 tasse,2,7375,0.65,"Soupe, courge musquée, prête-à-servir, réduite en sodium","Soup, butternut squash, ready-to-serve, reduced sodium",41,0.53,7.54,1.01
courge butternut,1 tasse,3,2451,0.5,"Courge d'hiver, courge musquée, crue","Squash, winter, butternut, raw",42,1.05,10.53,0.14
courge butternut,1 tasse,4,2452,0.5,"Courge d'hiver, courge musquée, cuite au four","Squash, winter, butternut, baked",40,0.9,10.49,0.09
courge butternut,1 tasse,5,2453,0.4,"Courge d'hiver, courge musquée, congelée, non préparée","Squash, winter, butternut, frozen, unprepared",57,1.76,14.41,0.1
courge spaghetti,1 tasse,1,2458,0.5,"Courge d'hiver, spaghetti, crue","Squash, winter, spaghetti, raw",31,0.64,6.91,0.57
courge spaghetti,1 tasse,2,2459,0.286,"Courge d'hiver, spaghetti, au four ou bouillie, égouttée","Squash, winter, spaghetti, baked or boiled, drained",27,0.66,6.46,0.26
courge spaghetti,1 tasse,3,6560,0.222,"Courge d'hiver, spaghetti, au four ou bouillie, égouttée, sel ajouté","Squash, winter, spaghetti, baked or boiled, drained, with salt",27,0.66,6.46,0.26
courge spaghetti,1 tasse,4,2094,0.2,"Courge torchon (towelgourd), crue","Gourd, dishcloth (towelgourd), raw",20,1.2,4.35,0.2
courge spaghetti,1 tasse,5,2218,0.2,"Courge d'été, musquée, crue","Squash, summer, crookneck, raw",19,1.01,3.88,0.27
artichaut,1 moyen,1,2364,1.3,"Artichaut, cru","Artichoke (Globe, French), raw",47,3.27,10.51,0.15
artichaut,1 moyen,2,6298,1.3,"Artichaut, mariné","Artichoke, marinated",119,3.192,10.254,8.429
artichaut,1 moyen,3,6618,1.3,"Artichaut, conserve","Artichoke, canned",50,3.464,11.129,0.159
artichaut,1 moyen,4,2365,1.133,"Artichaut, bouilli, égoutté","Artichoke (Globe, French), boiled, drained",53,2.89,11.95,0.34
artichaut,1 moyen,5,1988,1.05,"Artichaut, congelé, non préparé","Artichoke (Globe, French), frozen, unprepared",38,2.63,7.75,0.43
okra,1 tasse,1,2134,1.133,"Okra (gombo), cru","Okra (gumbo), raw",33,1.93,7.45,0.19
okra,1 tasse,2,2135,1.05,"Okra (gombo), bouilli, égoutté","Okra (gumbo), boiled, drained",22,1.87,4.51,0.21
okra,1 tasse,3,2136,1.05,"Okra (gombo), congelé, non préparé","Okra (gumbo), frozen, unprepared",30,1.69,6.63,0.25
okra,1 tasse,4,2137,1,"Okra (gombo), congelé, bouilli, égoutté","Okra (gumbo), frozen, boiled, drained",29,1.63,6.41,0.24
okra,1 tasse,5,6466,0.967,"Okra (gombo), bouilli, égoutté, sel ajouté","Okra (gumbo), boiled, drained, with salt",22,1.87,4.51,0.21
avocat,1 moyen,1,1512,1.133,"Avocat, cru, californie","Avocado, raw, california",167,1.96,8.64,15.41
avocat,1 moyen,2,1513,1.133,"Avocat, cru, Floride","Avocado, raw, florida",120,2.23,7.82,10.06
avocat,1 moyen,3,1511,1,"Avocat, cru, toutes variétés commerciales","Avocado, raw, all commercial varieties",160,2,8.53,14.66
avocat,1 moyen,4,450,0.733,"Huile végétale, avocat","Vegetable oil, avocado",885,0,0,100
salade grecque,1 portion,1,6738,1.3,"Salade grecque, faite maison","Salad, Greek, homemade",126,3.334,3.934,11.352
salade grecque,1 portion,2,3086,0.333,"Thon, salade",Tuna salad,187,16.04,9.41,9.26
salade grecque,1 portion,3,2187,0.25,"Pomme de terre, salade, faite maison","Potato salad, homemade",143,2.68,11.17,8.2
salade grecque,1 portion,4,5516,0.25,"Vinaigrette, salade de chou","Salad dressing, coleslaw",404,0.85,22.4,34.53
salade grecque,1 portion,5,6741,0.25,"Salade César, faite maison","Salad, Caesar, homemade",157,4.669,6.107,13.165
salade césar,1 portion,1,6741,1.3,"Salade César, faite maison","Salad, Caesar, homemade",157,4.669,6.107,13.165
salade césar,1 portion,2,6739,1.133,"Salade César avec poulet, faite maison","Salad, Caesar with chicken, homemade",151,12.513,3.69,9.618
salade césar,1 portion,3,5515,0.5,"Vinaigrette, César, régulière","Salad dressing, Caesar dressing, regular",542,2.17,3.3,57.85
salade césar,1 portion,4,5521,0.4,"Vinaigrette, César, hypocalorique","Salad dressing, Caesar, low calorie",110,0.3,18.6,4.4
salade césar,1 portion,5,7047,0.4,"Vinaigrette, César, sans gras","Salad dressing, Caesar, fat free",131,1.47,30.73,0.23
salade verte,1 bol,1,5517,0.4,"Vinaigrette, green goddess, régulière","Salad dressing, green goddess, regular",427,1.9,7.36,43.33
salade verte,1 bol,2,3086,0.333,"Thon, salade",Tuna salad,187,16.04,9.41,9.26
salade verte,1 bol,3,2187,0.25,"Pomme de terre, salade, faite maison","Potato salad, homemade",143,2.68,11.17,8.2
salade verte,1 bol,4,2255,0.25,"Tomate, verte, crue","Tomato, green, raw",23,1.2,5.1,0.2
salade verte,1 bol,5,2358,0.25,"Chou-fleur, vert, cru","Cauliflower, green, raw",31,2.95,6.09,0.3
pain blanc,1 tranche,1,4066,1.467,"Pain, blanc, commercial","Bread, white, commercial",261,9.14,49.21,2.66
pain blanc,1 tranche,2,3732,1.3,"Pain, blanc, commercial, grillé","Bread, white, commercial, toasted",288,10.08,54.28,2.93
pain blanc,1 tranche,3,3714,1.2,"Pain blanc aux raisins, commercial","Bread, white with raisins, commercial",295,7.52,56.14,4.06
pain blanc,1 tranche,4,3715,1.133,"Pain blanc aux raisins, commercial, grillé","Bread, white with raisins, commercial, toasted",320,8.15,60.84,4.4
pain blanc,1 tranche,5,4036,1.133,"Pain, blanc, commercial, réduit en sodium","Bread, white, commercial, reduced sodium",261,9.14,49.21,2.66
pain brun,1 tranche,1,4067,1.55,"Pain, blé entier, commercial","Bread, whole wheat, commercial",257,10.7,45.64,3.03
pain brun,1 tranche,2,4068,1.4,"Pain, blé entier, commercial, grillé","Bread, whole wheat, commercial, toasted",285,11.843,50.513,3.3547
pain brun,1 tranche,3,3737,1.175,"Pain, blé entier, fait maison (2/3 de blé entier)","Bread, whole wheat, homemade (2/3 whole wheat flour)",278,8.4,51.4,5.4
pain brun,1 tranche,4,3983,1.15,"Pain, petit pain, blé entier","Roll, dinner, whole wheat",266,8.7,51.1,4.7
pain brun,1 tranche,5,3738,1.1,"Pain, blé entier, fait maison (2/3 farine de blé entier), grillé","Bread, whole wheat, homemade (2/3 whole wheat flour), toasted",305,9.2,56.4,5.9
pain multigrain,1 tranche,1,3702,1.05,"Pain, multigrains (aussi blé entier, sept grains)","Bread, multigrain, commercial",267,11.01,46.88,3.49
pain multigrain,1 tranche,2,3703,1,"Pain, multigrains, commercial, grillé","Bread, multigrain, commercial, toasted",294,12.13,51.64,3.84
pain multigrain,1 tranche,3,7200,0.967,"Pain, multigrains, commercial, réduit en sodium","Bread, multigrain, commercial, reduced sodium",267,11.01,46.88,3.49
pain multigrain,1 tranche,4,7307,0.943,"Pain, multigrains, commercial, réduit en sodium, grillé","Bread, multigrain, commercial, reduced sodium, toasted",294,12.13,51.64,3.84
pain multigrain,1 tranche,5,3700,0.333,"Pain, Italien","Bread, Italian",260,8.82,49.44,2.51
pain pita,1 pita,1,3708,1.467,"Pain, pita, blanc","Bread, pita, white",301.015991808,10.498217587,59.703688161,1.695
pain pita,1 pita,2,3709,1.3,"Pain, pita, blé entier","Bread, pita, whole wheat",265.047744144,11.343911194,55.187174696,1.726
pain pita,1 pita,3,7915,1.2,"Pain, pita, blanc, style Grec","Bread, pita, white, Greek style",263.578453302,9.168651613,51.386711712,2.373
pain pita,1 pita,4,7916,1.133,"Pain, pita, blé entier, style Grec","Bread, pita, whole wheat, Greek style",284.930980152,9.972704287,51.832540751,4.19
pain pita,1 pita,5,7918,1.05,"Pain, pita, fruit (raisins), avec multigrains et multigraines","Bread, pita, fruit (raisins), with multigrains and multiseeds",292.737499028,8.503047604,56.129077153,3.801
bagel,1 moyen,1,3673,1.3,"Bagel, oeufs","Bagel, egg",278,10.6,53,2.1
bagel,1 moyen,2,7669,1.3,"Bagel, multigrain","Bagel, multigrain",241,9.9,47.47,1.24
bagel,1 moyen,3,3675,1.133,"Bagel, cannelle-raisins secs","Bagel, cinnamon-raisin",274,9.8,55.2,1.7
bagel,1 moyen,4,3677,1.133,"Bagel, son d'avoine","Bagel, oat bran",255,10.7,53.3,1.2
bagel,1 moyen,5,7067,1.133,"Bagel, blé entier","Bagel, whole wheat",250,10.2,48.89,1.53
muffin anglais,1,1,3906,1.467,"Muffin anglais, blé","English muffin, wheat",223,8.7,44.8,2
muffin anglais,1,2,3904,1.3,"Muffin anglais, raisins secs-cannelle","English muffin, raisin-cinnamon",232.091,8.031132637,46.704367363,1.461
muffin anglais,1,3,3907,1.3,"Muffin anglais, blé, grillé","English muffin, wheat, toasted",243,9.4,48.7,2.1
muffin anglais,1,4,3900,1.2,"Muffin anglais, nature (aussi levain)","English muffin, plain (also sourdough)",235.153536542,9.410310206,44.91857393,1.982
muffin anglais,1,5,3902,1.2,"Muffin anglais, multigrains (aussi granola)","English muffin, multigrain (also granola)",235,9.1,46.3,1.8
croissant,1 moyen,1,3882,1.133,"Croissant, beurre, commercial","Croissant, butter, commercial",406,8.2,45.8,21
croissant,1 moyen,2,3883,1.133,"Croissant, pommes, commercial","Croissant, apple, commercial",254,7.4,37.1,8.7
croissant,1 moyen,3,3884,1.133,"Croissant, fromage, commercial","Croissant, cheese, commercial",414,9.2,47,20.9
croissant,1 moyen,4,4541,0.525,"Aliments prêts à manger, déjeuner, croissant avec oeuf et fromage","Fast foods, breakfast, croissant with egg and cheese",304,10.07,22.45,19.45
croissant,1 moyen,5,4542,0.511,"Aliments prêts à manger, déjeuner, croissant avec oeuf, fromage et bacon","Fast foods, breakfast, croissant with egg, cheese and bacon",289,12.92,22.5,16.4
tortilla,1 grande,1,3997,0.943,"Tortilla, prêt-à-cuire /frire, maïs, salé","Tortilla, ready-to-bake / fry, corn, salted",218,7.108854655,52.765145345,2.116
tortilla,1 grande,2,4048,0.943,"Tortilla, prêt-à-cuire /frire, maïs, sans sel","Tortilla, ready-to-bake / fry, corn, unsalted",222,4.566433769,45.031476421,2.202
tortilla,1 grande,3,4049,0.943,"Tortilla, prêt-à-cuire /frire, farine, nature","Tortilla, ready-to-bake / fry, flour, plain",325,8.014189846,52.381839449,6.99
tortilla,1 grande,4,7919,0.943,"Tortilla, prêt-à-cuire /frire, farine, fromage","Tortilla, ready-to-bake / fry, flour, cheese",303.025,8.410155987,51.566844013,7.013
tortilla,1 grande,5,7258,0.925,"Tortilla, prêt-à-cuire /frire, grains entiers (blé entier)","Tortilla, ready-to-bake / fry, whole grain (whole wheat)",310,9.641610601,50.511813119,6.653
riz blanc,1 tasse cuite,1,7701,1.086,"Riz, blanc et sausage, arômatisé, non préparé","Rice, white and wild, flavoured, unprepared",142,3.49,26.28,2.57
riz blanc,1 tasse cuite,2,4429,0.8,"Grains céréaliers, riz blanc, farine","Grains, rice flour, white",366,5.95,80.13,1.42
riz blanc,1 tasse cuite,3,4424,0.733,"Grains céréaliers, riz blanc, glutineux, sec","Grains, rice, white, glutinous, dry",370,6.81,81.68,0.55
riz blanc,1 tasse cuite,4,4425,0.733,"Grains céréaliers, riz blanc, glutineux, cuit","Grains, rice, white, glutinous, cooked",97,2.02,21.09,0.19
riz blanc,1 tasse cuite,5,6192,0.733,"Grains céréaliers, riz blanc, glutineux, farine","Grains, rice, white, glutinous, flour",364,6.7,80.31,0.54
riz brun,1 tasse cuite,1,7246,0.9,"Grignotises, croustilles de riz brun","Snacks, brown rice chips",384,8.2,81.5,2.8
riz brun,1 tasse cuite,2,4124,0.8,"Grignotises, galettes de riz brun, nature","Snacks, rice cakes, brown rice, plain",387,8.2,81.5,2.8
riz brun,1 tasse cuite,3,4125,0.8,"Grignotises, galettes de riz brun, sarrasin","Snacks, rice cakes, brown rice, buckwheat",380,9,80.1,3.5
riz brun,1 tasse cuite,4,4362,0.8,"Grignotises, galettes de riz brun, maïs","Snacks, rice cakes, brown rice, corn",385,8.4,81.2,3.2
riz brun,1 tasse cuite,5,4363,0.8,"Grignotises, galettes de riz brun, multigrains","Snacks, rice cakes, brown rice, multigrain",387,8.5,80.1,3.5
riz basmati,1 tasse cuite,1,7448,0.333,Riz espagnol,"Rice, Spanish rice",185,3.28,31.16,5.29
riz basmati,1 tasse cuite,2,5611,0.25,"Boisson alcoolisée, vin de riz (saké)","Alcohol, rice (sake)",134,0.5,5,0
riz basmati,1 tasse cuite,3,7658,0.25,"Craquelin, riz, nature","Cracker, rice, plain",397.313221567,7.635,82.250194106,4.196938349
riz basmati,1 tasse cuite,4,394,0.2,"Aliment pour bébé, céréale, riz, sèche","Babyfood, cereal, rice, dry",400,7.64,84.98,2.5
riz basmati,1 tasse cuite,5,416,0.2,"Huile végétale, son de riz","Vegetable oil, rice bran",885,0,0,100
riz sauvage,1 tasse cuite,1,4449,0.8,"Grains céréaliers, riz sauvage, sec","Grains, rice, wild, dry",357,14.73,74.9,1.08
riz sauvage,1 tasse cuite,2,4450,0.8,"Grains céréaliers, riz sauvage, cuit","Grains, rice, wild, cooked",101,3.99,21.34,0.34
riz sauvage,1 tasse cuite,3,7448,0.333,Riz espagnol,"Rice, Spanish rice",185,3.28,31.16,5.29
riz sauvage,1 tasse cuite,4,7701,0.333,"Riz, blanc et sausage, arômatisé, non préparé","Rice, white and wild, flavoured, unprepared",142,3.49,26.28,2.57
riz sauvage,1 tasse cuite,5,5611,0.25,"Boisson alcoolisée, vin de riz (saké)","Alcohol, rice (sake)",134,0.5,5,0
quinoa,1 tasse cuite,1,7430,1.05,"Quinoa, galette de hambourgeois, congelée","Quinoa burger patty, frozen",192,10.7,17.8,12.1
quinoa,1 tasse cuite,2,4495,0.733,"Grains céréaliers, quinoa, sec","Grains, quinoa, dry",368,14.12,64.16,6.07
quinoa,1 tasse cuite,3,5917,0.733,"Grains céréaliers, quinoa, cuit","Grains, quinoa, cooked",120,4.4,21.3,1.92
quinoa,1 tasse cuite,4,6187,0.733,"Grains céréaliers, quinoa, farine","Grains, quinoa, flour",380,13.32,70.04,5.9
quinoa,1 tasse cuite,5,7630,0.5,"Pâtes, sans gluten, faites avec farines de maïs et de quinoa, cuites","Pasta, gluten-free, made with corn and quinoa flour, cooked",152,3.23,31.11,2.07
couscous,1 tasse cuite,1,4420,0.733,"Grains céréaliers, couscous, sec","Grains, couscous, dry",376,12.76,77.43,0.64
couscous,1 tasse cuite,2,4490,0.733,"Grains céréaliers, couscous, cuit","Grains, couscous, cooked",112,3.79,23.22,0.16
boulgour,1 tasse cuite,1,4414,0.733,"Grains céréaliers, bulgur, sec","Grains, bulgur, dry",342,12.29,75.87,1.33
boulgour,1 tasse cuite,2,4489,0.733,"Grains céréaliers, bulgur, cuit","Grains, bulgur, cooked",83,3.08,18.58,0.24
orge,1 tasse cuite,1,4485,0.733,"Grains céréaliers, orge, sec","Grains, barley, dry",354,12.48,73.48,2.3
